sub_id	form_lg	age	sex	hispanic	non_hispanic	decline	black	am_indian	asian	hawaiian	white	disorder	disorder_exp	e_native	e_age_learn	age_move_us	native_lg	home_lg	age_english	age_spanish	comfort_spanish	comfort_english	use_predominantly	use_math	accent	use_life	school_spanish	school_english	lost_fluency	lost_fluency_lg	current_country
bds_eng_24	0	22	1	1	0	0	0	0	0	0	1	0	NA	0	5	12	1	1	5	1	4	13	1	1	1	1	6	10	0	NA	0
bds_eng_25	0	20	1	1	0	0	0	0	0	0	0	0	NA	0	4	0	1	0	4	0	4	5	0.5	0	NA	0	1	16	1	1	0
bds_eng_27	0	20	1	1	0	0	0	0	0	0	0	0	NA	0	2	0	1	0	1	0	1	2	1	0	NA	0	0	17	0	NA	0
bds_eng_29	0	21	1	1	0	0	1	0	0	0	0	0	NA	0	4	0.75	1	0	4	1	8	8	1	0	NA	0	2	15	1	1	0
bds_eng_31	0	20	1	1	0	0	0	0	0	0	1	0	NA	1	NA	NA	NA	NA	0.666666667	0.666666667	1	1	0.5	0	NA	1	6.5	15	0	NA	0
bds_eng_32	0	19	1	1	0	0	0	0	0	0	0	0	NA	0	4	14	1	0	4	4	4	4	1	1	0	1	15	4	0	NA	0
bds_eng_33	0	19	0	1	0	0	0	1	0	0	1	0	NA	0	4	0	1	0	4	3	5	5	0.5	0	NA	0	6	16	1	1	0
bds_eng_34	0	20	1	1	0	0	0	0	0	0	0	0	NA	0	4	NA	1	0	4	0	4	4	0.5	0	NA	0	0	20	0	NA	0
bds_eng_35	0	21	1	1	0	0	0	0	0	0	0	0	NA	0	4	4	1	0	4	1	4	5	0.5	0	NA	0	0	0	0	NA	0
bds_eng_36	0	19	1	1	0	0	0	0	0	0	0	0	NA	0	5	NA	1	1	5	2.5	2.5	5	1	0	NA	1	0	15	1	1	0
bds_eng_37	0	20	1	1	0	0	0	0	0	0	0	0	NA	0	5	NA	1	0	5	3	3	5	0	0	NA	0	0	12	1	1	0
bds_eng_38	0	20	1	1	0	0	0	0	0	0	1	0	NA	1	NA	NA	NA	0	1	1	2	2	0.5	0	1	0	1	14	1	1	0
bds_eng_39	0	21	1	1	0	0	0	0	0	0	0	0	NA	0	2	NA	1	0	2	1	5	5	0	0	NA	0	12	16	0	NA	0
bds_eng_41	0	21	1	1	0	0	0	0	0	0	0	0	NA	0	3	0	1	1	3	1	4	5	0.5	0	NA	0	2	15	0	NA	0
bds_eng_42	0	20	1	1	0	0	0	0	0	0	0	0	NA	0	4	0	1	0	4	2	3	5	0.5	0	NA	0	0	15	1	1	0
bds_eng_43	0	19	1	1	0	0	0	0	0	0	1	0	NA	0	4	NA	1	0	4	0	0	4	0.5	0	NA	0	0	12	1	1	0
bds_eng_45	0	20	1	1	0	0	0	0	0	0	0	0	NA	0	5	NA	1	0	5	3	5	6	0.5	0	NA	0	4	13	0	NA	0
bds_eng_50	0	17	0	1	0	0	0	0	0	0	1	0	NA	1	NA	NA	NA	NA	5	3	17	5	0	0	1	0	3	13	1	1	0
bds_eng_51	0	20	1	1	0	0	0	0	0	0	0	0	NA	0	3	NA	1	0	3	0.5	1.5	3.5	0.5	0	NA	0	4	12	1	1	0
