sub_id	form_lg	age	sex	hispanic	non_hispanic	decline	black	am_indian	asian	hawaiian	white	disorder	disorder_exp	e_native	e_age_learn	age_move_us	native_lg	home_lg	dominancelg1	dominancelg2	acquisitionlg1	acquisitionlg2	percent_exp_eng	percent_exp_sp	percent_read_eng	percent_read_sp	percent_speak_eng	percent_speak_sp	years_education	education	english	e_acquire_age	e_fluent_age	e_beganread_age	e_fluentread_age	e_country_spoken_y	e_country_spoken_y_m	e_family_spoken_y	e_family_spoken_y_m	e_work_spoken_y	e_work_spoken_y_m	e_speaking_prof	e_understanding_prof	e_reading_prof	e_friends_con	e_family_con	e_reading_con	e_instruction_con	e_tv_con	e_music_con	e_friends_exp	e_family_exp	e_reading_exp	e_instruction_exp	e_tv_exp	e_music_exp	e_selfrate_accent	e_otherrate_accent	spanish	s_acquire_age	s_fluent_age	s_beganread_age	s_fluentread_age	s_country_spoken_y	s_country_spoken_y_m	s_family_spoken_y	s_family_spoken_y_m	s_work_spoken_y	s_work_spoken_y_m	s_speaking_prof	s_understanding_prof	s_reading_prof	s_friends_con	s_family_con	s_reading_con	s_instruction_con	s_tv_con	s_music_con	s_friends_exp	s_family_exp	s_reading_exp	s_instruction_exp	s_tv_exp	s_music_exp	s_selfrate_accent	s_otherrate_accent
leapq_eng_01	0	19	1	1	0	0	0	0	0	0	0	0	NA	1	NA	NA	NA	NA	0	1	1	0	63.63636364	36.36363636	70	30	10	90	14	4	1	1	5	5	6	19	19.75	19	19.75	14	14	9	9	9	8	7	10	0	9	8	8	5	8	2	3	8	1	1	1	1	1	5	6	19	19.75	19	19.75	14	14	9	9	9	8	9	10	0	0	9	3	5	4	3	0	7	1	1
leapq_eng_03	0	21	0	1	0	0	1	0	0	0	0	0	NA	0	2	0	1	0	0	1	0	1	55.55555556	44.44444444	66.66666667	33.33333333	66.66666667	33.33333333	14	4	2	2	9	3	10	21	22	21	22	21	22	9	10	9	10	9	10	10	10	10	10	10	10	10	9	9	8	9	1	1	5	7	15	21	22	21	22	21	22	9	10	10	10	10	10	10	10	10	8	10	7	5	9	10	8	1
leapq_eng_04	0	19	0	1	0	0	0	0	0	0	1	0	NA	1	NA	NA	NA	0	1	0	1	0	75	25	85	15	65	35	13	5	1	1	3.5	3.5	4	19	19.16666667	17	17.16666667	16	16	8	10	8	10	0	9	0	10	1	10	6	9	1	8	5	6	8	1	1	1	6	8	19	19.16666667	19	19.16666667	13	13	8	10	8	7	10	9	3	4	5	5	3	3	2	2	5	7	8
leapq_eng_05	0	23	1	1	0	0	0	0	0	0	0	0	NA	0	3	0	1	1	0	1	1	0	70	30	80	20	50	50	17	4	2	3	7	7.5	7.5	23	23.91666667	0	0	17	17	8	8	8	10	3	10	0	5	5	8	3	9	0	9	7	1	1	1	1	1	10	10	0	0	0	0	0	0	8	7	6	1	10	3	0	2	5	3	10	1	0	2	4	2	2
leapq_eng_06	0	23	0	1	0	0	0	0	0	0	0	0	NA	0	2	0	1	0	0	1	1	0	80	20	90	10	50	50	16	5	2	2	4	6	8	20	20	0	0	14	14	10	10	10	9	0	10	0	10	5	10	3	10	0	5	5	0	0	1	0	4	5	7	3	3	23	23	3	3	8	9	8	10	10	7	0	5	5	5	10	5	0	4	5	4	5
leapq_eng_07	0	20	1	1	0	0	0	0	0	0	1	0	NA	0	5	3	1	0	0	1	1	0	80	15	95	3	55	35	16	2	2	5	7	6	7	19	19	13	13	16	16	9	10	9	6	1	2	1	4	3	9	7	9	0	9	7	1	0	1	0	2	5	7	0	0.5	20	20	20	20	8	8	8	3	10	3	0	5	5	1	7	3	0	2	2	1	0
leapq_eng_08	0	21	1	1	0	0	0	0	0	0	0	0	NA	1	NA	NA	NA	NA	0	1	0	1	90	10	100	0	80	20	15	4	1	1	5	5	6	21	21	21	21	21	21	10	9	10	9	10	9	0	6	5	10	10	10	10	10	10	0	0	1	1	3	15	16	0	0.083333333	21	21	4	4	8	9	5	5	10	1	0	8	0	1	3	0	0	0	0	1	1
leapq_eng_09	0	27	1	1	0	0	0	0	0	0	0	0	NA	0	5	5	1	0	0	1	1	0	50	39	90	10	50	40	25	4	2	9	12	9	12	22	22	10	10	10	10	9	10	9	8	0	10	0	0	0	10	5	10	0	10	5	2	2	1	1	1	5	5	4	4	22	22	8	8	5	9	9	0	10	0	0	5	0	5	10	3	0	1	5	6	9
leapq_eng_10	0	21	1	1	0	0	0	0	0	0	0	0	NA	0	4	0	1	0	0	1	1	0	64	35	90	8	40	40	16	4	2	5	8	6	11	21	21.5	15	15.5	16	16.5	10	10	10	8	4	10	4	2	1	8	4	9	10	5	3	5	1	1	1	6	5	8	1	1	21	21.5	3	3	8	9	6	8	10	3	1	8	8	3	5	2	1	5	4	7	8
leapq_eng_13	0	22	1	1	0	0	0	0	0	0	0	0	NA	1	NA	NA	NA	NA	0	1	0	1	80	19	90	9	70	29	15	5	1	1	1	5	7	22	22	22	22	22	22	8	8	8	7	7	8	5	4	8	10	8	10	10	2	8	0	0	1	1	1	10	10	22	22	22	22	0	0	8	8	4	7	10	5	1	9	8	8	10	3	1	7	7	1	3
